Genre,games_count,avg_review_ratio,median_review_ratio,avg_price,median_price,avg_total_reviews
Indie,40207,0.777,0.818,26.5,0.0,1429.6
Adventure,23725,0.773,0.812,29.67,0.0,2479.8
Action,23668,0.763,0.8,28.31,0.0,4133.5
Casual,21639,0.78,0.824,26.09,0.0,913.6
Simulation,12574,0.735,0.774,28.08,0.0,2333.8
Strategy,11525,0.754,0.79,28.07,0.0,2159.7
RPG,10871,0.766,0.801,28.27,10.0,3560.5
Early Access,4634,0.734,0.769,12.06,0.0,1675.5
Free To Play,4177,0.757,0.784,0.47,0.0,7261.1
Sports,2531,0.739,0.775,26.72,0.0,1777.8
Racing,2046,0.743,0.781,30.05,0.0,1894.9
Massively Multiplayer,1392,0.652,0.667,13.33,0.0,10369.6
Utilities,525,0.733,0.753,11.77,0.0,2303.4
Design & Illustration,336,0.751,0.775,16.38,0.0,3336.0
Animation & Modeling,275,0.737,0.762,14.57,0.0,4104.1
Violent,272,0.603,0.596,10.42,0.0,152.5
Education,206,0.749,0.78,14.65,0.0,390.9
Video Production,182,0.714,0.714,12.62,0.0,940.9
Gore,174,0.598,0.592,11.54,0.0,164.5
Game Development,148,0.771,0.812,18.75,0.0,761.5
Audio Production,131,0.709,0.714,15.44,0.0,929.0
Software Training,110,0.715,0.728,17.89,0.0,330.3
Photo Editing,85,0.765,0.786,16.76,0.0,11204.3
Nudity,76,0.633,0.661,19.32,0.0,168.5
Web Publishing,72,0.744,0.764,22.1,0.0,858.7
Sexual Content,66,0.67,0.716,17.95,0.0,134.7
Accounting,7,0.649,0.667,12.43,0.0,172.7
Movie,1,0.533,0.533,0.0,0.0,3238.0
